"Story","Title","Result","Date","Stability","Duration (s)"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id out of range should failed then return 404 response code","SUCCESS","2023-01-20T18:10:48.079+07:00[Asia/Bangkok]","0.0","1.05"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid id as string should failed then return 404 response code","SUCCESS","2023-01-20T18:10:52.647+07:00[Asia/Bangkok]","0.0","1.11"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-20T18:11:05.262+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-20T18:11:06.383+07:00[Asia/Bangkok]","0.0","1.08"
