"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id should success then return 200 response code","SUCCESS","2023-01-19T14:01:23.996+07:00[Asia/Bangkok]","0.0","6.69"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id should succes then return 200 response code","SUCCESS","2023-01-19T14:01:32.297+07:00[Asia/Bangkok]","0.0","1.23"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id out of range should failed then return 404 response code","SUCCESS","2023-01-19T14:01:34.878+07:00[Asia/Bangkok]","0.0","0.72"
"Testing GET todos JsonPlaceHolder API","GET todos with modified parameter should succes then return 200 response code","SUCCESS","2023-01-19T14:01:36.412+07:00[Asia/Bangkok]","0.0","0.17"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid id as string should failed then return 404 response code","SUCCESS","2023-01-19T14:01:36.588+07:00[Asia/Bangkok]","0.0","0.17"
"Testing POST Todos JsonPlaceHolder API","POST todos with valid input body should succes then return 201 response code","SUCCESS","2023-01-19T14:01:36.762+07:00[Asia/Bangkok]","0.0","0.75"
"Testing PUT Todos JsonPlaceHolder API","Put update user with valid json should success then return 200 response code","SUCCESS","2023-01-19T14:01:40.484+07:00[Asia/Bangkok]","0.0","0.68"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-19T14:01:45.817+07:00[Asia/Bangkok]","0.0","1.09"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-19T14:01:46.917+07:00[Asia/Bangkok]","0.0","0.68"
