"Story","Title","Result","Date","Stability","Duration (s)"
"Testing PUT Todos JsonPlaceHolder API","Put update user with difference userID and id should failed then return 400 response code","FAILURE","2023-01-20T18:11:00.043+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT Todos JsonPlaceHolder API","Put update user with blank body should failed then return 400 response code","FAILURE","2023-01-20T18:11:01.119+07:00[Asia/Bangkok]","0.0","1.05"
"Testing PUT Todos JsonPlaceHolder API","Put update user with extra body category should failed then return 400 response code","FAILURE","2023-01-20T18:11:02.188+07:00[Asia/Bangkok]","0.0","1.11"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T18:11:03.302+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T18:11:04.378+07:00[Asia/Bangkok]","0.0","0.88"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-20T18:11:05.262+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-20T18:11:06.383+07:00[Asia/Bangkok]","0.0","1.08"
