"Story","Title","Result","Date","Stability","Duration (s)"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id should succes then return 200 response code","SUCCESS","2023-01-20T18:10:46.09+07:00[Asia/Bangkok]","0.0","1.1"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","SUCCESS","2023-01-20T18:10:47.191+07:00[Asia/Bangkok]","0.0","0.88"
"Testing GET todos JsonPlaceHolder API","GET todos without id should success then return 200 response code","SUCCESS","2023-01-20T18:10:50.027+07:00[Asia/Bangkok]","0.0","1.74"
"Testing GET todos JsonPlaceHolder API","GET todos with modified parameter should succes then return 200 response code","SUCCESS","2023-01-20T18:10:51.772+07:00[Asia/Bangkok]","0.0","0.87"
