"Story","Title","Result","Date","Stability","Duration (s)"
"Testing PUT Todos JsonPlaceHolder API","Put update user with valid json should success then return 200 response code","SUCCESS","2023-01-20T18:10:59.184+07:00[Asia/Bangkok]","0.0","0.85"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-20T18:11:05.262+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-20T18:11:06.383+07:00[Asia/Bangkok]","0.0","1.08"
