"Story","Title","Result","Date","Stability","Duration (s)"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with valid parameter","SUCCESS","2023-01-20T18:09:56.956+07:00[Asia/Bangkok]","0.0","2.0"
"Testing GET comments JsonPlaceHolder","GET comments with valid parameter id","SUCCESS","2023-01-20T18:10:03.245+07:00[Asia/Bangkok]","0.0","1.46"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter","SUCCESS","2023-01-20T18:10:09.708+07:00[Asia/Bangkok]","0.0","2.07"
"Testing POST comments JsonPlaceHolder","POST comments with valid json","SUCCESS","2023-01-20T18:10:11.78+07:00[Asia/Bangkok]","0.0","1.1"
"Testing PUT comments JsonPlaceHolder","PUT comments with valid json","SUCCESS","2023-01-20T18:10:17.054+07:00[Asia/Bangkok]","0.0","1.18"
